Title,Summary,Article_URL,Source_Summary,Time
蕭敬騰甜蜜大婚！好友周杰倫為1事趕不回台灣　缺席原因曝光,金曲歌王蕭敬騰2023年6月向秘戀16年的經紀人女友Summer（林有慧）求婚成功，2人也於13日在台北舉辦婚宴，小倆口剛現身就甜蜜互動，閃瞎現場眾人；不過，2人的好友周杰倫卻無法到場參加，背後原因也...,https://tw.news.yahoo.com/%E8%95%AD%E6%95%AC%E9%A8%B0%E7%94%9C%E8%9C%9C%E5%A4%A7%E5%A9%9A-%E5%A5%BD%E5%8F%8B%E5%91%A8%E6%9D%B0%E5%80%AB%E7%82%BA1%E4%BA%8B%E8%B6%95%E4%B8%8D%E5%9B%9E%E5%8F%B0%E7%81%A3-%E7%BC%BA%E5%B8%AD%E5%8E%9F%E5%9B%A0%E6%9B%9D%E5%85%89-101253815.html,中天新聞網,2024-10-13 18:13:16
直擊/遭韓森狂K！孫安佐鼻青臉腫「縫兩針」露面　親洩狄鶯、孫鵬心情,台中「燒打雞」韓森與孫安佐（改名孫健豪）12日在《拳願明星格鬥賽》對決，孫安佐一度遭擊打滿臉都是血，13日他在現身台北華山參加活動，全臉鼻青臉腫，但他表示自己僅有皮肉身，透露眉毛縫了2針，「醫生說一個...,https://tw.news.yahoo.com/%E7%9B%B4%E6%93%8A-%E9%81%AD%E9%9F%93%E6%A3%AE%E7%8B%82k-%E5%AD%AB%E5%AE%89%E4%BD%90%E9%9C%B2%E9%9D%A2-%E7%B8%AB%E5%85%A9%E9%87%9D-%E9%BC%BB%E9%9D%92%E8%87%89%E8%85%AB-100604899.html,中天新聞網,2024-10-13 18:10:16
罵「賤」風波落幕！徐乃麟與楊繡惠「世紀破冰」將和解　合體露面時間曝光,59歲女星楊繡惠近日因為「賤」字與徐乃麟槓上，她6日也坦言被曾國城私下開導，內心有釋懷不少；而徐乃麟日前大方邀楊繡惠上節目，如今2人也確定將在《挑戰吧！大神》破冰。,https://tw.news.yahoo.com/%E7%BD%B5-%E8%B3%A4-%E9%A2%A8%E6%B3%A2%E8%90%BD%E5%B9%95-%E5%BE%90%E4%B9%83%E9%BA%9F%E8%88%87%E6%A5%8A%E7%B9%A1%E6%83%A0-%E4%B8%96%E7%B4%80%E7%A0%B4%E5%86%B0-100709192.html,中天新聞網,2024-10-13 18:07:16
王心凌連唱2天！小巨蛋首見「360度旋轉牆」　太多機關粉絲驚呼：一眼看不完要直衝2場,王心凌「SUGAR HIGH 2.0世界巡迴演唱會」首站演出12日一連兩天在台北小巨蛋登場！為了給粉絲全面升級的演唱會，從舞台設計翻新出壯觀的「羽翼移動城堡舞台」是小巨蛋首見的360度LED旋轉高牆、...,https://tw.news.yahoo.com/%E7%8E%8B%E5%BF%83%E5%87%8C%E9%80%A3%E5%94%B12%E5%A4%A9-%E5%B0%8F%E5%B7%A8%E8%9B%8B%E9%A6%96%E8%A6%8B-360%E5%BA%A6%E6%97%8B%E8%BD%89%E7%89%86-%E5%A4%AA%E5%A4%9A%E6%A9%9F%E9%97%9C%E7%B2%89%E7%B5%B2%E9%A9%9A%E5%91%BC-%E7%9C%BC%E7%9C%8B%E4%B8%8D%E5%AE%8C%E8%A6%81%E7%9B%B4%E8%A1%9D2%E5%A0%B4-100700312.html,鏡週刊Mirror Media,2024-10-13 18:07:16
【獨家】蕭敬騰今辦婚宴！600人齊聚萬豪酒店慶賀　蕭爸爸笑望「早生貴子」,蕭敬騰與經紀人Summer今（13）日在萬豪酒店舉行婚禮，賓客高達600人，蕭敬騰爸爸一早就現身在招待處和賓客們合照寒暄，一身深藍色西裝、西裝帽、留著招牌辮子頭，他接受本刊訪問表示，沒有特別送新人結婚...,https://tw.news.yahoo.com/%E7%8D%A8%E5%AE%B6-%E8%95%AD%E6%95%AC%E9%A8%B0%E4%BB%8A%E8%BE%A6%E5%A9%9A%E5%AE%B4-600%E4%BA%BA%E9%BD%8A%E8%81%9A%E8%90%AC%E8%B1%AA%E9%85%92%E5%BA%97%E6%85%B6%E8%B3%80-summer%E8%87%AA%E6%9B%9D%E5%85%A9%E4%BA%BA-%E9%96%A8%E6%88%BF%E5%AF%86%E4%BA%8B-093900444.html,鏡週刊Mirror Media,2024-10-13 18:06:16
汪建民告別式！靈堂、遺照全曝光　 Ella、愷樂致意哀悼,【記者林秭渝／台北報導】汪建民罹患肺腺癌4期，於7日晚上過世，享年56歲，告別式今（13日）在台北市第二殯儀館景行樓至仁一廳舉行，日前家屬已透過社群「懇辭各界奠儀」。而生前在演藝圈人緣極佳的汪建民，今...,https://tw.news.yahoo.com/%E6%B1%AA%E5%BB%BA%E6%B0%91%E5%91%8A%E5%88%A5%E5%BC%8F-%E9%9D%88%E5%A0%82-%E9%81%BA%E7%85%A7%E5%85%A8%E6%9B%9D%E5%85%89-ella-%E6%84%B7%E6%A8%82%E8%87%B4%E6%84%8F%E5%93%80%E6%82%BC-100600440.html,壹蘋新聞網,2024-10-13 18:06:16
孫安佐拳賽被K爆後「毀容」現身　不讓狄鶯到場！認了：怕她難過,孫鵬與狄鶯的兒子孫安佐12日與「燒打雞」韓森拳擊對戰，13日就從台中趕回台北出席潮牌市集活動，左眉貼了紗布，滿臉是傷幾乎「毀容」，一上台就收到台下觀眾熱烈鼓掌，他則嗨喊：「我很敬業耶！」透露眉毛縫了兩...,https://tw.news.yahoo.com/%E5%AD%AB%E5%AE%89%E4%BD%90%E6%8B%B3%E8%B3%BD%E8%A2%ABk%E7%88%86%E5%BE%8C-%E6%AF%80%E5%AE%B9-%E7%8F%BE%E8%BA%AB-%E4%B8%8D%E8%AE%93%E7%8B%84%E9%B6%AF%E5%88%B0%E5%A0%B4-%E8%AA%8D%E4%BA%86-100500452.html,三立新聞網 setn.com,2024-10-13 18:05:16
流浪犬被認養後狂拉彩虹便便　飼主送醫才知心碎真相,[周刊王CTWANT] 根據外媒《紐約郵報》報導，美國科羅拉多州有一名獸醫助理在TikTok分享一隻流浪犬的影片，主角是一隻中型犬，畫面中看到牠做出要上廁所的動作，下一秒竟從屁股拉出一顆又一顆的彩色小...,https://tw.news.yahoo.com/%E6%B5%81%E6%B5%AA%E7%8A%AC%E8%A2%AB%E8%AA%8D%E9%A4%8A%E5%BE%8C%E7%8B%82%E6%8B%89%E5%BD%A9%E8%99%B9%E4%BE%BF%E4%BE%BF-%E9%A3%BC%E4%B8%BB%E9%80%81%E9%86%AB%E6%89%8D%E7%9F%A5%E5%BF%83%E7%A2%8E%E7%9C%9F%E7%9B%B8-143610355.html,CTWANT,2024-10-13 18:04:16
眾量級Andy出國女伴不是家寧！網一看嚇爛：這是…,娛樂中心／曾郁雅報導YouTube界知名CP「眾量級」由Andy與家寧搭檔組成，過去時常公開分享兩人逗趣互動日常，惡搞、開箱等題材，吸引超過200萬名粉絲追隨多年，沒想到最近就有網友觀察兩人社群互動，...,https://tw.news.yahoo.com/%E7%9C%BE%E9%87%8F%E7%B4%9Aandy%E5%87%BA%E5%9C%8B%E5%A5%B3%E4%BC%B4%E4%B8%8D%E6%98%AF%E5%AE%B6%E5%AF%A7-%E7%B6%B2-%E7%9C%8B%E5%9A%87%E7%88%9B-%E9%80%99%E6%98%AF-100358834.html,民視,2024-10-13 18:04:16
李程彬曾胖到117公斤慘遭霸凌　半年鏟肉40公斤翻身為校草,[周刊王CTWANT] 而李程彬決定瘦下來的契機是曾收到一封情書，但當他開心打開來一看，才知道是給要坐在他旁邊的高瘦帥哥。又正好當時看到電影《瘦身男女》，便想著或許自己瘦下來也能轉變而決心減肥。他開始...,https://tw.news.yahoo.com/%E6%9D%8E%E7%A8%8B%E5%BD%AC%E6%9B%BE%E8%83%96%E5%88%B0117%E5%85%AC%E6%96%A4%E6%85%98%E9%81%AD%E9%9C%B8%E5%87%8C-%E5%8D%8A%E5%B9%B4%E9%8F%9F%E8%82%8940%E5%85%AC%E6%96%A4%E7%BF%BB%E8%BA%AB%E7%82%BA%E6%A0%A1%E8%8D%89-084210945.html,CTWANT,2024-10-13 18:02:16
日導宇賀那健一來台參與高雄電影節活動 (圖),日本導演宇賀那健一（圖）獲選為高雄電影節焦點導演，他今年已經3度來台灣，13日受訪表示，最喜歡到超商吃茶葉蛋，也預告將在新竹與苗栗拍恐怖片。,https://tw.news.yahoo.com/%E6%97%A5%E5%B0%8E%E5%AE%87%E8%B3%80%E9%82%A3%E5%81%A5-%E4%BE%86%E5%8F%B0%E5%8F%83%E8%88%87%E9%AB%98%E9%9B%84%E9%9B%BB%E5%BD%B1%E7%AF%80%E6%B4%BB%E5%8B%95-%E5%9C%96-100203934.html,中央社,2024-10-13 18:02:16
周杰倫缺席世紀婚禮！蕭敬騰夫妻這樣說　自責這件事情沒做好,蕭敬騰和老婆林有慧愛情長跑多年，去年登記結婚後，終於在一年後舉辦婚禮，今晚於台北萬豪酒店砸下百萬，佈置超浪漫藍紫色系婚宴，夫妻倆則是穿著白色禮服亮相，林有慧也開心曬出13.33克拉鑽戒，而受訪時也感謝...,https://tw.news.yahoo.com/%E5%91%A8%E6%9D%B0%E5%80%AB%E7%BC%BA%E5%B8%AD%E4%B8%96%E7%B4%80%E5%A9%9A%E7%A6%AE-%E8%95%AD%E6%95%AC%E9%A8%B0%E5%A4%AB%E5%A6%BB%E9%80%99%E6%A8%A3%E8%AA%AA-%E8%87%AA%E8%B2%AC%E9%80%99%E4%BB%B6%E4%BA%8B%E6%83%85%E6%B2%92%E5%81%9A%E5%A5%BD-095700972.html,三立新聞網 setn.com,2024-10-13 17:57:16
王彩樺二女兒「裹一塊布」太失火！網猛誇：很會,娛樂中心／曾郁雅報導資深藝人王彩樺以幽默風趣的螢幕形象，在觀眾心中留下深刻印象，不時公開自己與家中公主同框合影的他，總會吸引大批網友到場關心王彩樺大女兒黃于庭與二女兒繶帆一路上的成長史，近日王彩樺驕傲...,https://tw.news.yahoo.com/%E7%8E%8B%E5%BD%A9%E6%A8%BA%E4%BA%8C%E5%A5%B3%E5%85%92-%E8%A3%B9-%E5%A1%8A%E5%B8%83-%E5%A4%AA%E5%A4%B1%E7%81%AB-%E7%B6%B2%E7%8C%9B%E8%AA%87-074712570.html,民視,2024-10-13 17:56:16
《黑白大廚》金度潤現身台北！吃1本土點心後曝心聲,娛樂中心／周孟漢報導南韓人氣料理競賽節目《黑白大廚：料理階級大戰》自9月開播以來話題不斷，不只節目登上排行榜第一名，參與比賽的選手廚師們也都跟著走紅。其中「瞇瞇眼」主廚金度潤（김도윤），憑藉在節目中閉...,https://tw.news.yahoo.com/%E9%BB%91%E7%99%BD%E5%A4%A7%E5%BB%9A-%E9%87%91%E5%BA%A6%E6%BD%A4%E7%8F%BE%E8%BA%AB%E5%8F%B0%E5%8C%97-%E5%90%831%E6%9C%AC%E5%9C%9F%E9%BB%9E%E5%BF%83%E5%BE%8C%E6%9B%9D%E5%BF%83%E8%81%B2-095510585.html,民視,2024-10-13 17:55:16
蕭敬騰婚禮／陶晶瑩李李仁來了！兒子「一句話祝福」全場笑翻,蕭敬騰與Summer（林有慧）結婚一年，今晚以「親友聚會」為名的世紀婚宴在台北萬豪酒店舉行，夫妻倆在演藝圈有著好人緣，現場也星光熠熠，包括曾國城、方芳芳、陳喬恩、明道、向太等圈內好友皆陸續到場，稍早陶...,https://tw.news.yahoo.com/%E8%95%AD%E6%95%AC%E9%A8%B0%E5%A9%9A%E7%A6%AE-%E9%99%B6%E6%99%B6%E7%91%A9%E6%9D%8E%E6%9D%8E%E4%BB%81%E4%BE%86%E4%BA%86-%E5%85%92%E5%AD%90-%E5%8F%A5%E8%A9%B1%E7%A5%9D%E7%A6%8F-%E5%85%A8%E5%A0%B4%E7%AC%91%E7%BF%BB-095200036.html,三立新聞網 setn.com,2024-10-13 17:52:16
金鐘影帝曾體重破百被霸凌！　收錯情書太挫折「狂減40公斤」變校草,金鐘獎迷你劇集影帝李程彬過去曾飾演拳擊手，一度練到體脂僅有6-8%，現在也時常在社群分享健身成果照，不過他以前竟曾因太胖被霸凌！他笑說國中是他的體重巔峰期，最重曾到117公斤，後來他下定決心減重，半年...,https://tw.news.yahoo.com/%E9%87%91%E9%90%98%E5%BD%B1%E5%B8%9D%E6%9B%BE%E9%AB%94%E9%87%8D%E7%A0%B4%E7%99%BE%E8%A2%AB%E9%9C%B8%E5%87%8C-%E6%94%B6%E9%8C%AF%E6%83%85%E6%9B%B8%E5%A4%AA%E6%8C%AB%E6%8A%98-%E7%8B%82%E6%B8%9B40%E5%85%AC%E6%96%A4-%E8%AE%8A%E6%A0%A1%E8%8D%89-095036240.html,TVBS新聞網,2024-10-13 17:51:16
民視「2正妹新主播」掀網戀愛！這1人激似賈永婕,娛樂中心／綜合報導民視新聞的忠實觀眾一定有發現，在近日的氣象預報中，除了大家常見主播林嘉愷外，還多了2位長相清秀、亮眼的女主播「周容萱」以及「王毓珺」，2人都有著獨特的氣質，播報時的專業模樣曝光後，瞬...,https://tw.news.yahoo.com/%E6%B0%91%E8%A6%96-2%E6%AD%A3%E5%A6%B9%E6%96%B0%E4%B8%BB%E6%92%AD-%E6%8E%80%E7%B6%B2%E6%88%80%E6%84%9B-%E9%80%991%E4%BA%BA%E6%BF%80%E4%BC%BC%E8%B3%88%E6%B0%B8%E5%A9%95-073052639.html,民視,2024-10-13 17:50:16
日導宇賀那健一熱愛超商茶葉蛋 將來台拍恐怖片,（中央社記者王心妤高雄13日電）日本導演宇賀那健一是今年高雄電影節焦點導演，今年已訪台3次，最愛吃台灣超商茶葉蛋。他預告年底將在苗栗和新竹拍恐怖片；台灣恐怖片改編鄉野傳奇的習慣也獲得他的青睞。,https://tw.news.yahoo.com/%E6%97%A5%E5%B0%8E%E5%AE%87%E8%B3%80%E9%82%A3%E5%81%A5-%E7%86%B1%E6%84%9B%E8%B6%85%E5%95%86%E8%8C%B6%E8%91%89%E8%9B%8B-%E5%B0%87%E4%BE%86%E5%8F%B0%E6%8B%8D%E6%81%90%E6%80%96%E7%89%87-094851134.html,中央社,2024-10-13 17:49:16
蕭敬騰世紀婚禮女兒來了！賈靜雯修杰楷一家五口罕見大合體,天王蕭敬騰今日和老婆林有慧舉辦世紀婚禮，現場星光閃閃，不少演藝圈好友都前來祝賀，而其中好友修杰楷和賈靜雯夫妻，也帶著三個女兒一起前來，而大女兒梧桐妹也是林有慧和蕭敬騰的乾女兒，這次也在婚禮擔任花童。,https://tw.news.yahoo.com/%E8%95%AD%E6%95%AC%E9%A8%B0%E4%B8%96%E7%B4%80%E5%A9%9A%E7%A6%AE%E5%A5%B3%E5%85%92%E4%BE%86%E4%BA%86-%E8%B3%88%E9%9D%9C%E9%9B%AF%E4%BF%AE%E6%9D%B0%E6%A5%B7-%E5%AE%B6%E4%BA%94%E5%8F%A3%E7%BD%95%E8%A6%8B%E5%A4%A7%E5%90%88%E9%AB%94-094500793.html,三立新聞網 setn.com,2024-10-13 17:45:16
《順風婦產科》朴英奎痛失愛兒 收AI合照痛哭,《順風婦產科》朴英奎痛失愛兒 收AI合照痛哭,https://tw.news.yahoo.com/%E9%A0%86%E9%A2%A8%E5%A9%A6%E7%94%A2%E7%A7%91-%E6%9C%B4%E8%8B%B1%E5%A5%8E%E7%97%9B%E5%A4%B1%E6%84%9B%E5%85%92-%E6%94%B6ai%E5%90%88%E7%85%A7%E7%97%9B%E5%93%AD-094500572.html,EBC東森新聞,2024-10-13 17:45:16
蕭敬騰婚禮甜吻愛妻 13.33克拉鑽戒曝超閃含義,蕭敬騰今（13）日和經紀人老婆Summer在台北萬豪酒店舉辦婚禮，夫妻倆甜蜜互動羨煞眾人，鑽戒更是吸睛，Summer透露：「就是之前求婚的那顆，13.33克拉，含義是『一生愛你除不盡』，這是先前老蕭買...,https://tw.news.yahoo.com/%E8%95%AD%E6%95%AC%E9%A8%B0%E5%A9%9A%E7%A6%AE%E7%94%9C%E5%90%BB%E6%84%9B%E5%A6%BB-1333%E5%85%8B%E6%8B%89%E9%91%BD%E6%88%92%E6%9B%9D%E8%B6%85%E9%96%83%E5%90%AB%E7%BE%A9-093737690.html,Yahoo奇摩新聞（記者 許瑞麟）,2024-10-13 17:25:16
蕭敬騰婚禮／婚姻長跑35年！徐乃麟現身祝福　親曝秘訣不藏了,蕭敬騰與Summer（林有慧）今晚在台北萬豪酒店舉辦世紀婚宴，賓客多達600人，且眾星雲集，包括曾國城、方芳芳、陳喬恩、明道、向太等圈內好友皆陸續到場，稍早「乃哥」徐乃麟與方芳芳一同現身，並給予兩人最...,https://tw.news.yahoo.com/%E8%95%AD%E6%95%AC%E9%A8%B0%E5%A9%9A%E7%A6%AE-%E5%A9%9A%E5%A7%BB%E9%95%B7%E8%B7%9135%E5%B9%B4-%E5%BE%90%E4%B9%83%E9%BA%9F%E7%8F%BE%E8%BA%AB%E7%A5%9D%E7%A6%8F-%E8%A6%AA%E6%9B%9D%E7%A7%98%E8%A8%A3%E4%B8%8D%E8%97%8F%E4%BA%86-093700035.html,三立新聞網 setn.com,2024-10-13 17:25:16
蕭敬騰世紀婚禮！曾國城「送8字祝福」曝兩人相戀內幕：很不容易,歌手蕭敬騰與妻子Summer，將在今（13日）晚台北萬豪酒店舉辦世紀婚禮，現場眾星雲集，包含曾國城、陳喬恩夫婦都到場。曾國城則祝福表示，「希望他們能夠一直這麼幸福甜蜜下去。」,https://tw.news.yahoo.com/%E8%95%AD%E6%95%AC%E9%A8%B0%E4%B8%96%E7%B4%80%E5%A9%9A%E7%A6%AE-%E6%9B%BE%E5%9C%8B%E5%9F%8E-%E9%80%818%E5%AD%97%E7%A5%9D%E7%A6%8F-%E6%9B%9D%E5%85%A9%E4%BA%BA%E7%9B%B8%E6%88%80%E5%85%A7%E5%B9%95-%E5%BE%88%E4%B8%8D%E5%AE%B9%E6%98%93-093613931.html,中時新聞網,2024-10-13 17:25:16
孫生賽前挺孫安佐「挨轟雙面人」　全因賽後1句話,娛樂中心／徐詩詠報導藝人孫鵬、狄鶯之子孫安佐日前出席《拳願》賽事，對決網紅「燒打雞」韓森，在宣傳記者會上就曾發生衝突的2人，到了比賽當天更是火藥味十足。只可惜，開打後雙方實力差距有些距離，孫安佐幾乎頭...,https://tw.news.yahoo.com/%E5%AD%AB%E7%94%9F%E8%B3%BD%E5%89%8D%E6%8C%BA%E5%AD%AB%E5%AE%89%E4%BD%90-%E6%8C%A8%E8%BD%9F%E9%9B%99%E9%9D%A2%E4%BA%BA-%E5%85%A8%E5%9B%A0%E8%B3%BD%E5%BE%8C1%E5%8F%A5%E8%A9%B1-093610173.html,民視,2024-10-13 17:25:17
啦啦隊女神洩F級超兇弧線 「邪惡視角 」畫面流出網讚：福利太滿,味全龍啦啦隊「Dragon Beauties」成員小珍奶，常在社群分享傲人F級弧線的養眼照，讓粉絲眼睛狂吃冰淇淋。日前公開拍攝廣告的花絮影片，由上往下拍攝的邪惡視角，讓眾人直呼：「太辣了」。,https://tw.news.yahoo.com/%E5%95%A6%E5%95%A6%E9%9A%8A%E5%A5%B3%E7%A5%9E%E6%B4%A9f%E7%B4%9A%E8%B6%85%E5%85%87%E5%BC%A7%E7%B7%9A-%E9%82%AA%E6%83%A1%E8%A6%96%E8%A7%92-%E7%95%AB%E9%9D%A2%E6%B5%81%E5%87%BA%E7%B6%B2%E8%AE%9A-%E7%A6%8F%E5%88%A9%E5%A4%AA%E6%BB%BF-093505253.html,中時新聞網,2024-10-13 17:25:17
劉若英上海拚場張學友、李榮浩　圓夢「化聲」一代歌后,【記者林丞偉／台北報導】「文藝天后」劉若英昨（12日）起一連兩天在上海開唱，而12日上海演唱會百花齊發，有張學友，李榮浩、鳳凰傳奇等人舉辦演唱會，劉若英特別感謝歌迷今天選擇了她，然而，金曲歌王蕭敬騰今...,https://tw.news.yahoo.com/%E5%8A%89%E8%8B%A5%E8%8B%B1%E4%B8%8A%E6%B5%B7%E6%8B%9A%E5%A0%B4%E5%BC%B5%E5%AD%B8%E5%8F%8B-%E6%9D%8E%E6%A6%AE%E6%B5%A9-%E5%9C%93%E5%A4%A2-%E5%8C%96%E8%81%B2-%E4%BB%A3%E6%AD%8C%E5%90%8E-093400108.html,壹蘋新聞網,2024-10-13 17:25:17
大愛新劇描寫林嘉俐真實人生故事　邀來金鐘金馬女配演繹,[周刊王CTWANT] 導演黃克義與戲劇系畢業的製作人吳怡然，多次受到金鐘入圍肯定，最新的大愛劇《日日好食光》更請來金鐘獎女配角獎的范瑞君、金馬獎最佳女配角獎的張詩盈，以及在《我的婆婆怎麼那麼可愛》中...,https://tw.news.yahoo.com/%E5%A4%A7%E6%84%9B%E6%96%B0%E5%8A%87%E6%8F%8F%E5%AF%AB%E6%9E%97%E5%98%89%E4%BF%90%E7%9C%9F%E5%AF%A6%E4%BA%BA%E7%94%9F%E6%95%85%E4%BA%8B-%E9%82%80%E4%BE%86%E9%87%91%E9%90%98%E9%87%91%E9%A6%AC%E5%A5%B3%E9%85%8D%E6%BC%94%E7%B9%B9-093221789.html,CTWANT,2024-10-13 17:25:17
汪建民病逝／陳為民曝30年交情　細數好友3優點「我記得他所有的好」,[周刊王CTWANT] 陳為民稍早受訪提及，昨（12日）碰巧是他和汪建民認識30年，說起好友，他感慨：「雖然他後面幾年因為個人財務不是很好，我覺得這個不影響，在我們朋友心中他就是很善良、很正直、大方的...,https://tw.news.yahoo.com/%E6%B1%AA%E5%BB%BA%E6%B0%91%E7%97%85%E9%80%9D-%E9%99%B3%E7%82%BA%E6%B0%91%E6%9B%9D30%E5%B9%B4%E4%BA%A4%E6%83%85-%E7%B4%B0%E6%95%B8%E5%A5%BD%E5%8F%8B3%E5%84%AA%E9%BB%9E-%E6%88%91%E8%A8%98%E5%BE%97%E4%BB%96%E6%89%80%E6%9C%89%E7%9A%84%E5%A5%BD-093125763.html,CTWANT,2024-10-13 17:25:17
歐陽妮妮猶豫剖腹還自然產　僅3周身體出現「1變化」超崩潰,28歲星二代歐陽妮妮今年7月宣布和大8歲影帝張書豪結婚，9月宣布懷孕喜訊，小倆口即將成為新手爸媽。近日歐陽妮妮在社群媒體上分享產前煩惱，她猶豫自己到底是要選擇自然產還是剖腹產，加上肚子迅速變大也讓她很...,https://tw.news.yahoo.com/%E6%AD%90%E9%99%BD%E5%A6%AE%E5%A6%AE%E7%8C%B6%E8%B1%AB%E5%89%96%E8%85%B9%E9%82%84%E8%87%AA%E7%84%B6%E7%94%A2-%E5%83%853%E5%91%A8%E8%BA%AB%E9%AB%94%E5%87%BA%E7%8F%BE-1%E8%AE%8A%E5%8C%96-%E8%B6%85%E5%B4%A9%E6%BD%B0-093020871.html,中時新聞網,2024-10-13 17:25:17
「零死角女神」林岱縈 響應「捐發票」助弱勢兒童,「零死角女神」林岱縈，受邀擔任紅心字會「Hi-Love一塊，發現愛」 ...,https://tw.news.yahoo.com/%E9%9B%B6%E6%AD%BB%E8%A7%92%E5%A5%B3%E7%A5%9E-%E6%9E%97%E5%B2%B1%E7%B8%88-%E9%9F%BF%E6%87%89-%E6%8D%90%E7%99%BC%E7%A5%A8-%E5%8A%A9%E5%BC%B1%E5%8B%A2%E5%85%92%E7%AB%A5-093005281.html,台灣新生報,2024-10-13 17:25:17
老蕭大婚眾星雲集乾媽向太來啦　陳喬恩婚禮後首現身、曾國城「送8字」,【緯來新聞網】蕭敬騰與經紀人老婆林有慧（Summer）今（13日）在台北萬豪酒店舉辦婚宴,https://tw.news.yahoo.com/%E8%80%81%E8%95%AD%E5%A4%A7%E5%A9%9A%E7%9C%BE%E6%98%9F%E9%9B%B2%E9%9B%86%E4%B9%BE%E5%AA%BD%E5%90%91%E5%A4%AA%E4%BE%86%E5%95%A6-%E9%99%B3%E5%96%AC%E6%81%A9%E5%A9%9A%E7%A6%AE%E5%BE%8C%E9%A6%96%E7%8F%BE%E8%BA%AB-%E6%9B%BE%E5%9C%8B%E5%9F%8E-%E9%80%818%E5%AD%97-092900896.html,緯來新聞網,2024-10-13 17:25:17
張雁名解決婆媳問題 當母親的媽寶太太的暖男,《日日好食光》邀來金鐘獎女配角獎的范瑞君、金馬獎最佳女配角獎的張詩盈，以及在《我的婆婆怎麼那麼可愛》中表現亮眼的林筵諭（勇兔），分別飾演「楊英美」、「邵惠美」與「李美玉」，「三美」一起合作，詮釋三位在...,https://tw.news.yahoo.com/%E5%BC%B5%E9%9B%81%E5%90%8D%E8%A7%A3%E6%B1%BA%E5%A9%86%E5%AA%B3%E5%95%8F%E9%A1%8C-%E7%95%B6%E6%AF%8D%E8%A6%AA%E7%9A%84%E5%AA%BD%E5%AF%B6%E5%A4%AA%E5%A4%AA%E7%9A%84%E6%9A%96%E7%94%B7-092824223.html,Yahoo奇摩娛樂 特派記者,2024-10-13 17:25:17
直擊／戴13.33克拉千萬婚戒放閃！蕭敬騰吻Summer甜曝「夫妻私下生活小習慣」,[FTNN新聞網]記者吳雨婕／台北報導「金曲歌王」蕭敬騰與經紀人Summer的世紀婚禮於今（13）日晚間在台北萬豪酒店舉行，本次婚宴名為「以婚禮為名的一場親友會...,https://tw.news.yahoo.com/%E7%9B%B4%E6%93%8A-%E6%88%B413-33%E5%85%8B%E6%8B%89%E5%8D%83%E8%90%AC%E5%A9%9A%E6%88%92%E6%94%BE%E9%96%83-%E8%95%AD%E6%95%AC%E9%A8%B0%E5%90%BBsummer%E7%94%9C%E6%9B%9D-%E5%A4%AB%E5%A6%BB%E7%A7%81%E4%B8%8B%E7%94%9F%E6%B4%BB%E5%B0%8F%E7%BF%92%E6%85%A3-092800401.html,FTNN新聞網,2024-10-13 17:25:17
墓仔埔也敢去！日本名導新竹場勘　12月將在台拍鬼片,2024高雄電影節昨（12）日展開，日本驚悚搞笑名導宇賀那健一擔任焦點影人，有6部長片在雄影播映，他受訪表示自己和台灣很有緣，今年已是第3次來台，今年12月將在新竹、苗栗拍攝新片，女主角是台灣女星麥語...,https://tw.news.yahoo.com/%E5%A2%93%E4%BB%94%E5%9F%94%E4%B9%9F%E6%95%A2%E5%8E%BB-%E6%97%A5%E6%9C%AC%E5%90%8D%E5%B0%8E%E6%96%B0%E7%AB%B9%E5%A0%B4%E5%8B%98-12%E6%9C%88%E5%B0%87%E5%9C%A8%E5%8F%B0%E6%8B%8D%E9%AC%BC%E7%89%87-092748024.html,TVBS新聞網,2024-10-13 17:25:17
高宇蓁拍情慾戲來20次累到翻　激戰多位男演員曝6年男友反應,[周刊王CTWANT] 高宇蓁在片中飾演性工作者，有多位男演員都有情慾戲，她坦言以前親密戲幾乎都是跟固定演員搭，這次要跟不同的男演員拍，的確是要先拿掉心理障礙，「像有一個日本老先生要親我全身，他事先很...,https://tw.news.yahoo.com/%E9%AB%98%E5%AE%87%E8%93%81%E6%8B%8D%E6%83%85%E6%85%BE%E6%88%B2%E4%BE%8620%E6%AC%A1%E7%B4%AF%E5%88%B0%E7%BF%BB-%E6%BF%80%E6%88%B0%E5%A4%9A%E4%BD%8D%E7%94%B7%E6%BC%94%E5%93%A1%E6%9B%9D6%E5%B9%B4%E7%94%B7%E5%8F%8B%E5%8F%8D%E6%87%89-092736724.html,CTWANT,2024-10-13 17:25:17
